date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-30 15:11:53,_sherants,,0,0,0,"My sister rents near uni cause LRT2 is still under repair tapos ngayon there's confirmed case of corona virus near U-Belt. Apaka galing hane?? Anong adjustment pa ho ba?",,,,1222900244003749889,https://twitter.com/_sherants/status/1222900244003749889
2020-01-30 14:34:20,X_EvolutionR_X,,0,0,0,"Bought a lot of face mask since there were reports of Corona virus near our location",,,,1222890796304592898,https://twitter.com/X_EvolutionR_X/status/1222890796304592898
2020-01-30 12:03:51,mauricehalls,,0,0,0,"first confirmed case of corona virus near our university well it’s over",,,,1222852926814609408,https://twitter.com/mauricehalls/status/1222852926814609408
2020-01-30 00:55:22,TheRealMrpieman,,3,0,2,"2 suspected cases of corona virus near me. This is it boys, I shall go down with the ship. ",,,,1222684695474905088,https://twitter.com/TheRealMrpieman/status/1222684695474905088
2020-01-29 19:24:19,AyeItsMichellle,,0,0,0,"If anyone brings the corona virus near me I’m gonna be pissed",,,,1222601384861687808,https://twitter.com/AyeItsMichellle/status/1222601384861687808
2020-01-29 18:45:03,vjokbye,,0,1,15,"I just googled ""Corona Virus near me"" like it's a korean barbecue place or sumn. Ugh i hate my mind",,,,1222591500975931392,https://twitter.com/vjokbye/status/1222591500975931392
2020-01-29 15:44:07,8WinterEpiphany,,0,0,0,"They’re quarantining 240 people with corona virus near my city man. I just want to make it to the concert in May.",,,,1222545967032848385,https://twitter.com/8WinterEpiphany/status/1222545967032848385
2020-01-29 10:19:19,bluemingsky,,0,0,0,"There’s a positive corona virus near our school’s area-",,,,1222464231636758530,https://twitter.com/bluemingsky/status/1222464231636758530
2020-01-29 00:47:09,catalinanickole,,0,0,1,"Can we have a corona virus near me app ",,,,1222320241515958273,https://twitter.com/catalinanickole/status/1222320241515958273
2020-01-28 23:02:10,leonelcamiro8,StableRonaldo,2,1,9,"Can’t let the corona virus near me ",,,,1222293822203281408,https://twitter.com/leonelcamiro8/status/1222293822203281408
2020-01-28 22:42:31,_kabiyesi,Ayam_Teefah,1,0,1,"This your face mask ehn, Is Corona virus near you?? ",,,,1222288875952988166,https://twitter.com/_kabiyesi/status/1222288875952988166
2020-01-28 14:41:12,Ashraaaafff,,0,0,2,"Just knew that the corona virus near real time map was made using arcgis dashboard! Patut lah seems familiar.",,,,1222167747523563521,https://twitter.com/Ashraaaafff/status/1222167747523563521
2020-01-28 06:04:34,TaylWester,,2,0,5,"Someone is infected with the Corona Virus near Fresno.. welp.",,,,1222037734090395648,https://twitter.com/TaylWester/status/1222037734090395648
2020-01-28 05:52:25,_reginchen,_reginchen,12,0,41,"first person in germany is infected with the corona-virus. near munich. close to where i live. YUP GOODBYE WE'RE ALL GONNA DIE ",,,,1222034674639429633,https://twitter.com/_reginchen/status/1222034674639429633
2020-01-28 04:42:44,https__kun,,0,0,0,"please im going to cry our school is trying to k!ll us. we have three case of the corona virus near us and theyre saying to not wearing masks because iTs uSeLeSs bEcauSe thEres nOt thAt mAny cAse. WE LITERALLY CAN ALL GET INFECTED RN AND YOUR NOT LETTING US WEAR MASKS?? ",,,,1222017140514967552,https://twitter.com/https__kun/status/1222017140514967552
2020-01-28 04:23:07,intimacey,,1,0,0,"two cases of corona virus near my uni my throat be hurting. farewell my ftiends",,,,1222012200203751424,https://twitter.com/intimacey/status/1222012200203751424
2020-01-28 03:47:06,faiirypup,,2,0,5,"bro theres a confirmed case of the corona virus near my city LMAOOO might just die who knows ",,,,1222003137772343296,https://twitter.com/faiirypup/status/1222003137772343296
2020-01-27 21:07:17,TheresaMiedema,ontariotech_u,0,0,0,"We're all okay. There are no known or reported cases of the Corona Virus near #OntarioTech. So, yes. We do have class. We will keep you updated. For now, we have the ""all clear"".",,,#OntarioTech,1221902520399925248,https://twitter.com/TheresaMiedema/status/1221902520399925248
2020-01-27 11:36:55,bereavedbyyou,,0,0,3,"lana lost aoty, corona virus near me, no man and cock, um yup nothing has broken me like this ",,,,1221758984949911552,https://twitter.com/bereavedbyyou/status/1221758984949911552
2020-01-27 01:45:55,rowoonce,,1,2,2,"FNC, please cancel SF9 fansigning event in Qinhdao and Taipei #FNC_중국팬싸_취소해 I mean look at this real-time spread map of Corona virus. Near Qingdao and Taipei, there is already city that has been contaminated by the virus. ",,,#FNC_,1221610255517278208,https://twitter.com/rowoonce/status/1221610255517278208
2020-01-26 19:15:22,prince_aaronnn,,3,0,17,"There’s two cases of the corona virus near me... great",,,,1221511968944611333,https://twitter.com/prince_aaronnn/status/1221511968944611333
2020-01-26 13:28:03,Seckbach,,2,0,0,"Bob Arum Reveals 50 people got corona virus near where jose Ramirez was ... https://youtu.be/Rn5iXKRde_U via @YouTube",,@YouTube,,1221424561570246656,https://twitter.com/Seckbach/status/1221424561570246656
2020-01-26 03:41:55,jaipurice,Harry_z5,0,0,0,"If noone is infected with corona virus near you, you're ok. Plus, Pneumonia only occurs in people with weak immune system (babies, elderies, and HIV+).",,,,1221277057218277379,https://twitter.com/jaipurice/status/1221277057218277379
2020-01-24 19:18:16,Roms_Sb,,2,1,3,"The « Bordeaux » mais hospital is like 10 minutes away from my house lol... so there’s a case of corona virus near me... So give me a... REMEEEEDYYYY #BTSARMY #BTSinParis #BTS",,,#BTSARMY #BTSARMY #BTSinParis #BTS #BTS,1220787924243009536,https://twitter.com/Roms_Sb/status/1220787924243009536
2020-01-24 12:23:46,snappedbtntbrkn,,0,0,0,"See if there's a level-4 bioweapons lab storing Corona virus near you! https://fas.org/programs/bio/research.html",,,,1220683611197837322,https://twitter.com/snappedbtntbrkn/status/1220683611197837322
